id,category,level,question,option1,option2,option3,option4,answer,explanation
"DAM-E001","damascus","easy","أي جبل يطل على مدينة دمشق ويُعد المتنفس الطبيعي الأبرز لسكانها؟","جبل قاسيون","جبل الشيخ","جبل الزاوية","جبل العرب","جبل قاسيون","جبل قاسيون يشرف على دمشق ويوفر إطلالة بانورامية كاملة للمدينة."
"DAM-E002","damascus","easy","ما هو النهر الذي ارتبط اسمه وتاريخه بتأسيس دمشق وازدهار غوطتها؟","نهر بردى","نهر العاصي","نهر الفرات","نهر دجلة","نهر بردى","نهر بردى هو الشريان الحيوي الذي تتفرع منه قنوات الري لتسقي دمشق."
"DAM-E003","damascus","easy","أي سوق مسقوف هو الأكبر في دمشق القديمة ويتميز بسقفه المعدني المثقوب؟","سوق الحميدية","سوق مدحت باشا","سوق البزورية","سوق الحرير","سوق الحميدية","سوق الحميدية يتميز بسقفه الذي تدخل منه أشعة الشمس كنجوم مضيئة."
"DAM-E004","damascus","easy","ما هو المعلم الإسلامي الأبرز في قلب دمشق والذي كان معبداً ثم كنيسة؟","الجامع الأموي","جامع التكية السليمانية","جامع درويش باشا","جامع الشيخ محي الدين","الجامع الأموي","الجامع الأموي هو تحفة العمارة الإسلامية ويحمل طبقات من تاريخ دمشق."
"DAM-E005","damascus","easy","أي ساحة تُعد المركز الإداري والتاريخي لدمشق وتضم نصب عمود الاتصالات؟","ساحة المرجة","ساحة الأمويين","ساحة العباسيين","ساحة باب توما","ساحة المرجة","ساحة المرجة (ساحة الشهداء) كانت قلب دمشق الحديث وتضم النصب التذكاري للتلغراف."
"DAM-E006","damascus","easy","أي حي دمشقي يشتهر بصناعة وبيع الحلويات الشامية العريقة؟","حي الميدان","حي المهاجرين","حي ركن الدين","حي أبو رمانة","حي الميدان","حي الميدان هو الوجهة الأولى تاريخياً لتذوق أعرق الحلويات الدمشقية."
"DAM-E007","damascus","easy","ما هو العنصر المعماري الذي يتوسط أرض الديار (الفناء) في البيت الدمشقي؟","البحرة (نافورة المياه)","برج الحمام","موقد النار","بئر عميق","البحرة (نافورة المياه)","البحرة توفر تلطيفاً للمناخ الصيفي وتضفي صوتاً مريحاً يعزل ضجيج الخارج."
"DAM-E008","damascus","easy","أي باب من أبواب دمشق لا يزال يحتفظ بشكله المعماري الروماني ذي القناطر الثلاث؟","باب شرقي","باب الجابية","باب توما","باب السلام","باب شرقي","باب شرقي هو الوحيد الذي حافظ على تصميمه الروماني الأصلي بمداخله الثلاثة."
"DAM-E009","damascus","easy","ما هو السوق الدمشقي الشهير بتجارة التوابل والأعشاب والسكاكر؟","سوق البزورية","سوق الصاغة","سوق القباقبية","سوق تفضلي","سوق البزورية","سوق البزورية يشتهر بروائح البهارات والأعشاب الطبية والحلويات التقليدية."
"DAM-E010","damascus","easy","ما اسم المحطة التاريخية التي كانت تنطلق منها القطارات من دمشق إلى المدينة المنورة؟","محطة الحجاز","محطة القدم","محطة القابون","محطة الربوة","محطة الحجاز","محطة الحجاز بُنيت في العهد العثماني لتسهيل رحلة الحجاج إلى الأراضي المقدسة."
"DAM-E011","damascus","easy","أي قلعة تاريخية تقع في قلب دمشق وتتميز بأنها مبنية على أرض منبسطة؟","قلعة دمشق","قلعة الحصن","قلعة حلب","قلعة المرقب","قلعة دمشق","قلعة دمشق استثنائية لأنها لم تُبنَ على مرتفع، بل اعتمدت على خنادق المياه للحماية."
